Sample,Plant_ID,PLA_mm2,PLA_Green_mm2,PLA_Red_mm2,Width_mm,Height_mm,Hull_mm2,Solidity,PCA_Angle_deg,PCA_Aspect_Ratio
rgb_000_00.png,Plant_01,202.15,184.31,0.0,19.51,17.88,232.54,0.8693,152.14,1.406
rgb_000_00.png,Plant_02,333.61,225.93,0.0,65.02,34.95,1421.97,0.2346,10.18,3.127
rgb_000_00.png,Plant_03,173.08,165.15,0.0,14.63,22.76,238.48,0.7258,87.3,1.513
rgb_000_00.png,Plant_04,245.09,231.87,0.0,21.95,24.38,320.73,0.7642,56.83,1.426
rgb_000_00.png,Plant_05,249.71,237.16,0.0,16.26,27.63,318.08,0.785,71.0,2.268
rgb_000_01.png,Plant_01,228.86,194.36,0.0,21.18,17.92,265.67,0.8614,144.68,1.402
rgb_000_01.png,Plant_02,293.86,263.35,0.0,57.01,27.69,1006.3,0.292,2.83,2.108
rgb_000_01.png,Plant_03,205.64,196.35,0.0,15.47,23.62,262.02,0.7848,95.08,1.603
rgb_000_01.png,Plant_04,281.92,252.74,0.0,21.99,25.25,385.74,0.7309,49.16,1.036
rgb_000_01.png,Plant_05,273.96,258.71,0.0,18.73,28.51,370.81,0.7388,70.72,2.039
rgb_000_02.png,Plant_01,218.3,211.11,0.0,21.02,16.98,254.9,0.8564,158.23,1.502
rgb_000_02.png,Plant_02,362.75,283.66,0.0,71.14,67.1,2762.75,0.1313,164.5,1.317
rgb_000_02.png,Plant_03,194.12,187.58,0.0,14.55,22.64,249.02,0.7795,83.07,1.644
rgb_000_02.png,Plant_04,266.67,255.56,0.0,22.64,26.68,371.24,0.7183,63.6,1.608
rgb_000_02.png,Plant_05,275.16,260.78,0.0,19.4,28.3,384.64,0.7154,72.27,2.011
rgb_000_03.png,Plant_01,218.71,213.55,0.0,22.49,16.06,246.13,0.8886,169.41,1.511
rgb_000_03.png,Plant_02,270.97,261.29,0.0,30.52,24.9,405.16,0.6688,152.91,2.821
rgb_000_03.png,Plant_03,185.16,179.35,0.0,12.05,22.49,223.55,0.8283,86.27,1.796
rgb_000_03.png,Plant_04,260.65,256.13,0.0,21.69,26.51,352.26,0.7399,63.26,1.674
rgb_000_03.png,Plant_05,278.06,272.9,0.0,16.87,28.92,352.9,0.7879,76.86,2.114
rgb_000_04.png,Plant_01,263.86,236.63,0.0,22.54,20.13,300.16,0.879,145.61,1.281
rgb_000_04.png,Plant_02,394.81,321.56,0.0,61.19,53.14,1749.11,0.2257,28.07,2.707
rgb_000_04.png,Plant_03,217.18,210.7,0.0,15.3,24.96,284.93,0.7622,81.43,1.836
rgb_000_04.png,Plant_04,335.82,307.29,0.0,23.35,28.18,427.23,0.786,47.56,1.253
rgb_000_04.png,Plant_05,329.98,327.39,0.0,17.71,31.4,395.79,0.8337,78.74,2.129
rgb_000_05.png,Plant_01,241.41,233.71,0.0,23.24,18.43,291.17,0.8291,160.16,1.518
rgb_000_05.png,Plant_02,398.72,335.15,0.0,72.12,52.88,2288.6,0.1742,18.26,2.016
rgb_000_05.png,Plant_03,233.71,223.43,0.0,16.83,26.44,322.63,0.7244,83.88,1.9
rgb_000_05.png,Plant_04,333.23,328.09,0.0,23.24,29.65,422.15,0.7894,66.72,1.755
rgb_000_05.png,Plant_05,371.11,365.33,0.0,18.43,32.85,436.92,0.8494,76.85,2.163
rgb_001_00.png,Plant_01,239.37,236.85,0.0,23.02,17.46,270.55,0.8847,165.49,1.552
rgb_001_00.png,Plant_02,331.34,327.56,0.0,33.33,27.78,484.09,0.6845,147.09,2.311
rgb_001_00.png,Plant_03,238.11,231.18,0.0,15.87,26.19,311.18,0.7652,96.27,1.767
rgb_001_00.png,Plant_04,341.42,338.27,0.0,23.81,30.16,434.65,0.7855,58.78,1.786
rgb_001_00.png,Plant_05,369.13,363.46,0.0,19.05,30.95,422.05,0.8746,75.42,1.977
rgb_001_01.png,Plant_01,243.25,239.11,0.0,24.59,18.44,281.03,0.8655,164.52,1.752
rgb_001_01.png,Plant_02,371.37,366.64,0.0,35.35,28.43,516.31,0.7193,152.42,2.319
rgb_001_01.png,Plant_03,252.1,243.25,0.0,15.37,27.66,330.04,0.7639,87.15,2.172
rgb_001_01.png,Plant_04,350.7,341.85,0.0,23.82,30.74,452.55,0.775,72.47,1.823
rgb_001_01.png,Plant_05,391.44,387.31,0.0,19.21,31.5,440.44,0.8887,75.4,1.705
rgb_001_02.png,Plant_01,256.07,252.54,0.0,24.55,18.41,300.22,0.8529,161.83,1.818
rgb_001_02.png,Plant_02,633.41,407.36,151.88,69.82,30.69,1544.08,0.4102,171.57,2.235
rgb_001_02.png,Plant_03,264.9,259.6,0.0,15.34,26.85,324.94,0.8152,91.95,1.824
rgb_001_02.png,Plant_04,386.17,381.46,0.0,24.55,31.46,459.16,0.841,73.7,1.852
